Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Hyundai,,,,,,Great Price,
Hyundai,,,,,,Fair Price,
Hyundai,,,,,,Fair Price,
Hyundai,Hyundai Kona,2.0 Executive,2022,18 000,Automatic,Great Price,R 309 900
Hyundai,Hyundai H-1,2.5VGTi Bus,2016,177 123,Automatic,Great Price,R 349 900
Hyundai,Hyundai Kona,2.0 Executive,2022,160 000,Automatic,Great Price,R 249 900
Hyundai,Hyundai i20,1.2 Motion,2015,98 300,Manual,High Price,R 149 900
Hyundai,Hyundai H-1,2.5 CRDI ELITE Auto  9-Seater,2017,220 022,Automatic,Great Price,R 319 950
Hyundai,Hyundai Creta,1.5 Premium Auto,2022,37 500,Automatic,Great Price,R 284 900
Hyundai,Hyundai Kona,2.0 Executive,2019,40 000,Automatic,Great Price,R 264 900
Hyundai,Hyundai i20,1.4 Premium,2025,10 533,Automatic,Great Price,R 278 500
Hyundai,Hyundai Creta,1.5 Executive,2021,75 231,Automatic,Great Price,R 239 900
Hyundai,ined,,unde,,,,
Hyundai,Hyundai Creta,1.5 Premium Auto,2025,4 998,Automatic,Great Price,R 369 800
Hyundai,,,,,,Fair Price,
Hyundai,,,,,,Fair Price,
Hyundai,,,,,,Fair Price,
Hyundai,Hyundai Grand Creta,2.0 Executive (Auto),2023,64 864,Automatic,Great Price,R 319 900
Hyundai,Hyundai H-1,2.5VGTi Bus GLS,2014,64 378,Automatic,Fair Price,R 379 800
Hyundai,Hyundai Atos,1.1 Motion,2022,49 400,Manual,Great Price,R 159 900
Hyundai,Hyundai Alcazar,1.5D Executive,2025,15 000,Automatic,Great Price,R 489 990
Hyundai,Hyundai Venue,1.0T TGDI Motion,2022,73 000,Manual,Great Price,R 199 900
Hyundai,Hyundai Grand i10,1.2 Fluid,2023,41 521,Manual,Great Price,R 198 900
Hyundai,Hyundai Grand i10,1.0 Motion Auto,2018,103 805,Automatic,Fair Price,R 159 950
Hyundai,Hyundai H-100,Bakkie 2.6D,2023,33 000,Manual,Fair Price,R 329 950
Hyundai,Hyundai Grand Creta,2.0 Executive (Auto),2023,65 153,Automatic,Great Price,R 319 900
Hyundai,Hyundai Tucson,2.0D AWD N Line,2025,31 000,Automatic,Great Price,R 639 900
Hyundai,Hyundai i20,1.4 Motion Auto,2024,42 000,Automatic,Great Price,R 234 999
Hyundai,Hyundai Grand i10,1.2 Glide,2018,78 500,Manual,Fair Price,R 169 900
Hyundai,Hyundai i20,1.0T N Line,2026,42,Automatic,Fair Price,R 449 800
Hyundai,Hyundai H-1,2.5 CRDI ELITE Auto  9-Seater,2022,83 000,Automatic,Fair Price,R 599 900
Hyundai,Hyundai Tucson,2.0 Premium,2022,40 000,Automatic,Great Price,R 349 899
Hyundai,,,,,,Fair Price,
Hyundai,,,,,,Fair Price,
Hyundai,,,,,,Fair Price,
Hyundai,ined,,unde,,,,
Hyundai,Hyundai H-1,2.5VGTi Bus,2015,107 000,Automatic,No Rating,R 339 900
Hyundai,Hyundai i20,1.2 Motion,2016,136 100,Manual,Fair Price,R 149 900
Hyundai,Hyundai Atos,1.1 Motion,2022,59 152,Manual,Great Price,R 159 800
Hyundai,Hyundai Grand i10,1.0 Motion,2026,157,Manual,No Rating,R 249 950
Hyundai,Hyundai H-1,2.5 CRDI ELITE Auto  9-Seater,2016,184 278,Automatic,Fair Price,R 339 900
Hyundai,Hyundai Creta,1.5 Premium Manual,2023,61 500,Manual,Great Price,R 249 900
Hyundai,Hyundai Santa Fe,2.2D 4WD Elite,2019,75 000,Automatic,Great Price,R 379 899
Hyundai,Hyundai Tucson,2.0 Premium Auto,2019,107 000,Automatic,Great Price,R 239 990
Hyundai,Hyundai Grand Creta,2.0 Executive (Auto),2023,69 157,Automatic,Great Price,R 319 900
Hyundai,Hyundai i20,1.0T N Line,2023,73 000,Automatic,Fair Price,R 349 950
Hyundai,,,,,,Fair Price,
Hyundai,,,,,,Great Price,
Hyundai,,,,,,Great Price,
Hyundai,Hyundai i20,1.2 Motion,2023,101 300,Manual,Fair Price,R 239 950
Hyundai,Hyundai i10,1.1 Motion,2016,87 000,Manual,Fair Price,R 119 900
Hyundai,Hyundai Grand i10,1.0 Motion,2019,128 000,Manual,Great Price,R 119 900
Hyundai,Hyundai Staria,2.2D Executive 9-seater,2023,103 548,Automatic,Great Price,R 579 900
Hyundai,Hyundai Staria,2.2D Executive 9-seater,2025,194 062,Automatic,Great Price,R 559 900
Hyundai,Hyundai Venue,1.0T Fluid Auto,2021,69 900,Automatic,Great Price,R 229 995
Hyundai,Hyundai Atos,1.1 Motion,2022,83 000,Manual,Fair Price,R 159 900
Hyundai,Hyundai Tucson,2.0 Premium Auto,2017,117 795,Automatic,Great Price,R 209 900
Hyundai,Hyundai Tucson,2.0D Elite,2019,145 000,Automatic,Fair Price,R 329 950
Hyundai,Hyundai Atos,1.1 Motion,2023,19 901,Manual,High Price,R 189 950
Hyundai,Hyundai Staria,2.2D Luxury 9-seater,2023,68 000,Automatic,Fair Price,R 899 900
Hyundai,Hyundai Grand i10,1.0 Premium Hatch,2026,100,Manual,High Price,R 229 950
Hyundai,Hyundai Venue,1.0T Fluid Manual,2023,18 101,Manual,Fair Price,R 289 900
Hyundai,Hyundai Palisade,2.2D 4WD Elite 8-seater,2021,46 000,Automatic,No Rating,R 619 900
Hyundai,Hyundai Grand i10,1.0 Motion,2023,17 652,Manual,Great Price,R 179 900
Hyundai,,,,,,Fair Price,
Hyundai,,,,,,Great Price,
Hyundai,,,,,,Fair Price,
Hyundai,Hyundai Grand i10,1.0 Premium Hatch,2026,200,Manual,High Price,R 229 950
Hyundai,Hyundai Exter,1.2 Executive Manual,2024,16 720,Manual,Great Price,R 219 995
Hyundai,Hyundai Grand i10,1.2 Fluid Sedan Manual,2024,25 200,Manual,Great Price,R 219 995
Hyundai,Hyundai Santa Fe,2.2CRDi Elite,2018,83 000,Automatic,No Rating,R 289 950
Hyundai,Hyundai Grand i10,1.2 Fluid,2022,33 580,Manual,Great Price,R 179 900
Hyundai,Hyundai Creta,1.5 Executive,2021,35 472,Automatic,Great Price,R 269 900
Hyundai,Hyundai Creta,1.5 Executive,2023,30 810,Automatic,Great Price,R 309 900
